id,title,designer,source_type,source_url,craft,technique,object,year,terms,terms_evidence,abbrev_list,special_stitches,special_stitch_names,placement_modifiers,stitches_used,gauge_stitch,gauge_form,turning_chain,turning_chain_by_stitch,tc_counts_as_stitch,tc_position,tc_color,foundation_form,first_stitch_in,round_join,stitch_marker_instructed,stitch_counts_given,shaping,repeats_stated,border,finishing_steps,has_chart,chart_type,chart_cell_means,chart_direction_stated,chart_row1_position,chart_key,written_also,rs_ws_stated,skill_level,hook_mm,hook_us,yarn_weight_form,yarn_brand_line,yarn_putup,yarn_amount_form,yarn_per_color,fiber_content,notions,finished_size,sizes_count,care,substitution_advice,video_links,copyright_terms,coder,confidence,notes,quotes
fw-advanced-graphghan,Advanced Graphghan Techniques,Freese-Works,indie,https://www.freese-works.com/advanced-graphghan-techniques/,crochet,mixed,other,unstated,unstated,inferred-from-stitches,no,no,none,none,sc,unstated,unstated,1,single,yes,start-of-row,next,unstated,unstated,n/a,no,none,no,none,no,none,no,n/a,n/a,n/a,n/a,n/a,no,no,unstated,no,no,unstated,no,no,unstated,no,no,no,no,0,no,no,yes,no,,low,"tutorial. Blog technique article on sc graphghans (intarsia vs tapestry, bobbins, working from the graph); no actual pattern, chart, yarn, or hook data. Terms inferred US from ""single crochet""/""half double crochet"" wording; not declared. Key finding: author states tc counts as a stitch as a personal choice (""matter of opinion"") and that Grid Designer's generated written instructions count it; codebook may want a value for tc_counts_as_stitch = author-preference vs pattern-instruction. Explicit rules for tc color at a row-end color change: tc takes the color of the first square of the next row (both counting and not-counting cases) but author admits skipping it in practice since a border covers the edge. Mentions carrying yarn forward/backward (""pull that color forward and crochet over that"") as a tapestry variant. Technique diagrams exist with ""black arrows indicate the direction of crochet on each row"" but are not pattern charts. Coder: agent-A.","terms: unstated (no declaration; only ""single crochet"", ""half double crochet"", ""double and treble crochet"" wording) | gauge_form: unstated | turning_chain: ""Each row contains a turning chain followed by 4 sc's."" ; ""then the ch1 at the beginning of the row must be in the new color"" | tc_counts_as_stitch: ""I have always counted the turning chain as a stitch. I do this because I like the final result better."" ; ""So, for me, chaining at the beginning of any row of crochet counts as the first stitch."" ; ""The instructions that the Grid Designer writes out for crocheting a single crochet graphghan are written counting the turning chain as a stitch."" | tc_position: ""the ch1 at the beginning of the row"" | tc_color: ""If you have to switch colors on the second stitch of a row, then the ch1 at the beginning of the row must be in the new color. That ch1 will visually end up on top of the next stitch (the first single crochet you work in the row)."" ; ""If you are NOT counting the turning chain as a stitch, then the turning chain should be the color of the first stitch for the row."" | foundation_form: unstated | round_join: n/a (worked in rows; only mention of rounds is ""a round of single crochet going around the graphghan"" as an edging aside) | chart_cell_means: n/a (no chart in the article)"
fw-mosaic-own,Make Your Own Mosaic Crochet Patterns – Freese-Works,unstated,indie,https://www.freese-works.com/make-your-own-mosaic-crochet-patterns/,crochet,overlay-mosaic,other,unstated,unstated,inferred-from-stitches,no,no,anchored double-crochet;border stitch;wrong-side double-crochet-like stitch;lock stitch;negative stitch,BLO;FLO,sc;dc;edc;ch,sc,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,n/a,no,none,no,none,no,none,yes,symbol-grid,one-stitch,yes,unstated,yes,no,yes,unstated,no,no,unstated,no,no,unstated,no,no,no,no,0,no,no,yes,no,,low,"tutorial: blog post about the Grid Designer charting tool and the four mosaic variants it supports (overlay, reverse overlay, inset, interlay); no actual pattern. Coder: agent-A. Terms inferred US from ""single-crochet""/""double-crochet"" wording, not declared. Special stitches are described in prose, not in a defined section. ""Border Stitches"" here means edge sc worked through both loops, not a border. Chart images are referenced but not in text; charts are colored stripe grids with X symbols (colour+symbol hybrid; codebook may need a value). chart_direction_stated codes working direction (""right-to-left""). Interlay dc ""around the post"" with front/back unspecified. gauge_stitch codes the tool's advice to enter an sc-swatch gauge.","terms: unstated | gauge_form: unstated (tool advice only: ""This gauge should be the crochet gauge for working a swatch of single crochet rows."") | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: n/a (worked in rows: ""Each row is traditionally worked only from right-to-left (left-to-right if you are left-handed) and tails are left on both the right and left sides of the work."") | chart_cell_means: ""For instance, place an X for a double-crochet, the chart will update to show the additional color space below the X for the double-crochet overlay."" / ""Double-crochet on right-side of work"""
hlh-mosaic-tutorial,How to Do Overlay Mosaic Crochet (Step-by-Step Tutorial),Ashley Parker (The Loopy Lamb),indie,https://theloopylamb.com/how-to-do-overlay-mosaic-crochet-step-by-step-tutorial/,crochet,overlay-mosaic,other,unstated,US,declared,yes,yes,Beginning Border Stitch (BBS);Drop-Down Double Crochet (DDC);Ending Border Stitch (EBS),BLO;FLO,ch;sc;dc;slst,unstated,unstated,n/a,n/a,no,n/a,n/a,chain-count,2,n/a,no,none,no,rows,no,fasten-off;weave-ends,yes,both,one-stitch,yes,bottom-right,yes,yes,yes,unstated,yes,yes,both,no,no,unstated,no,no,yes,no,1,no,no,yes,yes,,medium,"tutorial; coder agent-A. Blog tutorial with an embedded 18-st practice swatch (foundation + Rows 3-6, repeat 3-6). Overlay mosaic: work is never turned, yarn is FO'd every row and each row is rejoined with BBS (standing sc or slst+sc) -- codebook needs a turning_chain value for ""no-turn/rejoin"" and a per-row join field. tc_counts_as_stitch ""no"" rests on the foundation arithmetic (19 = 16+2+1 tc) only. ""Under both loops"" is used as a placement modifier (not in list). BLO SC also listed under special stitches. Chart is an image (not in text); Step 3 heading missing. Only date is footer ""(c) 2026""; copyright is footer only. FAQ says ""beginner-friendly"" but no printed skill level. Stitch markers listed as ""handy"", not instructed. Blocking suggested conditionally for tension. Two colors A/B, no amounts.","terms: ""This crochet tutorial and pattern both use US terminology."" | gauge_form: unstated (only ""Check Your Gauge: Work a swatch before starting large projects to practice even stitch height and yarn tension."") | turning_chain: n/a -- ""You do NOT turn your work at the end of every row."" / ""Attach your new color in the first stitch with a BBS or slip stitch and SC under both loops."" / foundation only: ""16 for the chart pattern, 2 for the border edges (one on each end) and 1 for my turning chain."" | tc_counts_as_stitch: ""For our chart, I will create a chain of 19.  16 for the chart pattern, 2 for the border edges (one on each end) and 1 for my turning chain."" / ""Work a sc row across in color A, starting in the 2nd chain from the hook."" | foundation_form: ""For our chart, I will create a chain of 19."" | round_join: n/a (rows; per-row rejoin: ""Join color B to the first st with a slip stitch or a standing single crochet."") | chart_cell_means: ""Solid squares: Work a BLO SC stitch into that stitch."" / ""Marked squares: Often marked with an ""X"" or another symbol.  In these stitches work a drop-down double crochet (sometimes also called a dropped double crochet or mosaic double) into the front loop of the stitch directly below the next stitch.  Always skip the stitch behind the drop-down double crochet."" | chart_type: ""Mosaic crochet charts use numbered rows, color-coding and symbols to indicate which stitches to work."" | chart_direction: ""Charts are read horizontally from right to left, starting in the bottom right-hand corner."""
jc-tapestry-charts,How to Read Tapestry Crochet Charts,Joanna T. Grey,indie,https://www.joannascrochet.com/2025/11/how-to-read-tapestry-crochet-charts.html,crochet,tapestry,other,2025,unstated,inferred-from-stitches,no,no,none,none,sc,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,yes,none,no,none,no,none,no,n/a,one-stitch,yes,bottom-right,n/a,no,yes,unstated,no,no,unstated,no,no,unstated,no,no,no,no,0,no,no,no,no,,low,"tutorial: blog article on reading tapestry crochet charts, not a pattern; no chart is actually included, so has_chart=no while chart_cell_means/direction/row1 code the article's stated conventions (row 1 at bottom; odd RS rows read right-to-left, even WS rows left-to-right; in-the-round always right-to-left, never turn). Row1 bottom-right is combined from two explicit statements. Article describes both color-grid and symbol-grid (X/O) chart types with a key. Terms inferred US from ""single crochet""; not declared. Year 2025 taken from URL path only. Color change stated as last yarn-over of preceding stitch. Codebook gap: no value for ""in-the-round vs flat reading direction"" or tutorial/article object type. Page metadata suggests an embedded YouTube video not visible in extracted text.","terms: unstated (no declaration; ""Each square equals one single crochet."" is the only stitch name) | gauge_form: unstated | turning_chain: unstated (""At the end of a right-side row, you turn the work."" gives no chain count) | tc_counts_as_stitch: unstated | foundation_form: unstated (""Always verify that your foundation chain matches the total stitch count after repeats."" gives no form) | round_join: unstated (""For tapestry crochet worked in the round: Every row is read from right to left. Always. The right side always faces you. You never turn the work."" gives no join) | chart_cell_means: ""Charts compress all that information into a grid where each square is one stitch in one color."" ""Each square equals one single crochet. The color of the square tells you which yarn to use."" ""Each column represents one stitch. Each row represents one row of crochet."" | chart_direction_stated: ""Row 1 is at the bottom. You read upward as you crochet upward."" ""Odd-numbered rows (right side facing) are read from right to left. Even-numbered rows (wrong side facing) are read from left to right."" | stitch_marker_instructed: ""On your fabric, place stitch markers at the repeat boundaries across the row."""
lb-cpl-bafga,Lion Brand Pound of Love Hooded Baby Blanket (Pattern Number: 550),unstated,yarn-company,unstated,crochet,rows,blanket,2016,unstated,inferred-from-stitches,yes,yes,Pattern Stitch (Pat St),none,ch;sc;dc,unstated,sts-and-rows-over-other,varies,pat-st=2;dc=3,unstated,end-of-row,unstated,chain-count,3,n/a,no,changes-only,yes,both,yes,fasten-off;seam,no,n/a,n/a,n/a,n/a,n/a,n/a,yes,basic,yes,yes,unstated,yes,yes,balls,n/a,yes,no,yes,1,no,no,no,yes,,high,"Coder agent-A. Terms not declared; sc/hdc in abbreviations imply US. Gauge is stitches only over 1 inch (""3.75 sts = 1inches""), no rows, no stitch named: no codebook value fits, coded sts-and-rows-over-other. Turning chain differs by section: Ch 2 before pattern-stitch rows (which begin with 2 dc), Ch 3 before plain dc rows in Hood. T-ch is worked into (""1 sc in top of t-ch"", ""48 dc + t-ch"") but never said to count in words. Foundation: Ch 108 (blanket) and Ch 4 (hood); pattern stitch also gives ""multiple of 3 sts"". first_stitch_in is 3 for pattern stitch, 4 for hood. Only stitch count is the Hood target ""48 dc + t-ch"". ""Seam"" = hood joined to blanket by working edging through both layers. RS mentioned only in finishing, rows not labelled. Skill ""Beginner (Level 1)"" mapped to basic. Abbrev list is a generic house list (includes fpsc, hdc, tbl not used). No designer named. Exact PDF URL not recorded in sources.md.","terms: unstated | gauge_form: ""3.75 sts = 1inches on Size J hook."" | turning_chain: ""Row 1 2 dc in 3rd ch from hook, * skip 2 ch, 1 sc and 2 dc in next ch; rep from * across, ending with skip 2 ch, 1 sc in last ch. Ch 2, turn."" / ""Row 1 2 dc in 4th ch from hook. Ch 3, turn."" | tc_counts_as_stitch: unstated; nearest text ""ending with 1 sc in top of t-ch."" and ""Rep Rows 4 & 5 until there are 48 dc + t-ch."" | foundation_form: ""Ch 108. Beg with Row 1, work in Pat St for 28"". Fasten off."" / ""HOOD Ch 4."" / ""PATTERN STITCH (multiple of 3 sts)"" | round_join: n/a | chart_cell_means: n/a"
mdc-c2c-santa-blanket,C2C Crochet Santa Blanket (Jolly Old Saint Nick Blanket),Jess Coppom,indie,https://makeanddocrew.com/c2c-crochet-santa-blanket-pattern/,crochet,c2c,blanket,2026,US,declared,yes,yes,bobble (dc5tog + ch 1);corner-to-corner popcorn stitch,ch-sp,ch;slst;sc;dc;dc5tog;popcorn,pattern,tiles,3,single,yes,unstated,unstated,unstated,unstated,slst-and-ch,no,every-row,no,none,yes,fasten-off;weave-ends;block,yes,color-grid,tile,yes,bottom-right,no,no,yes,intermediate,yes,yes,both,yes,yes,mixed,yes,no,yes,yes,1,no,yes,yes,yes,,medium,"Coder agent-A. Free page is graph-only; the graph image is not in the extracted text, so chart_type/chart_key are coded from prose (key unverifiable). Body rows are never written; tc comes only from the tile definition. C2C inherent inc/dec is not written (shaping=no) - codebook may want a c2c value. Border is 4 joined rounds (technique arguably mixed); round starting 'Ch 1 (does not count as sc)' is a starting chain, not a turning chain. Stitch counts given for every border round only. 'Rep Step 2 until corner' is a step-repeat with no codebook value. Stitch markers in materials but never instructed. Hook 'Size G (4.5 mm)' (G is usually 4.0). hdc listed in summary abbrevs but unused. Year is the 'Updated' date. gauge_stitch 'pattern' = tiles.","terms: ""Abbreviations and Glossary (US Terms):"" | gauge_form: ""6 tiles = 4” (Each tile = approx. .8”)"" | turning_chain: ""Each pixel in the graph corresponds with one tile in your afghan. A tile = 3 ch (the tch, which counts as a dc) + 3 dc"" | tc_counts_as_stitch: ""A tile = 3 ch (the tch, which counts as a dc) + 3 dc"" | foundation_form: unstated - no foundation chain or starting instruction is given for the body; ""Beginning in lower right corner, crochet main blanket following graph pattern and optional written instructions."" | round_join: ""At end of round: ch 2, slst to first ch of round. Fasten off."" / ""At end of round: Ch 1, slst to sc from beginning of round to join."" followed by ""Border 3 (RS): Step 1: Ch 1 (does not count as sc), sc in first ch1sp."" / ""At end of round: Slst to slst from beginning of round to join. Fasten off."" | chart_cell_means: ""Each pixel in the graph corresponds with one tile in your afghan. A tile = 3 ch (the tch, which counts as a dc) + 3 dc"""
mdc-corner-to-corner-crochet-blanket,Easiest Beginner Corner to Corner Crochet Blanket Pattern (Slanted Stripes Blanket),Jess Coppom (Make & Do Crew),indie,unstated,crochet,c2c,blanket,2026,US,declared,yes,no,none,ch-sp,ch;slst;sc;hdc;dc,tile,tiles,3,single,yes,start-of-row,next,chain-count,4,slst,no,none,yes,rows,yes,fasten-off;weave-ends;block,yes,color-grid,tile,no,unstated,unstated,no,yes,easy,yes,yes,both,yes,yes,mixed,yes,no,yes,yes,1,no,yes,no,yes,,medium,"Blog page: generic C2C inc/dec steps + full border rounds; the graph and line-by-line rows are in a separate PDF (written in paid PDF only), so chart_type/key coded from ""pixel in the graph"" text, chart itself unseen. Body tch is 3 (tile = ch-3 tch + 3 dc) but increase rows start ""Ch 6"" (3 foundation + 3 tch) and decrease rows start ""Ch 1, slst 3, slst into tch, ch 3"" - codebook may need a c2c inc/dec value. Gauge is per tile, not a stitch (gauge_stitch=tile is not a codebook value). tc_color=next derived from ""cut the yarn at the end of a blanket row and begin working with the next color"" + start-of-row ch. Tile counts given in tutorial rows only. Repeats are ""Repeat Steps 4-8"", not rows. round_join is the border. Alt crab-stitch (rsc) border given. Fiber: ""chenille""/""synthetic"" only. Source URL not recorded in corpus. Coder: agent-A.","terms: ""Abbreviations + Glossary (US Terms)"" | gauge_form: ""Gauge 5.5 tiles = 4”"" | turning_chain: ""A tile = 3 ch (the tch, which counts as a dc) + 3 dc"" ; ""Step 7: Ch 3 quite tightly."" ; ""Step 2: Slip stitch into the ch-3 turning chain."" | tc_counts_as_stitch: ""A tile = 3 ch (the tch, which counts as a dc) + 3 dc"" ; ""Round 1 (WS): Ch 3 (counts as 1 hdc, ch 1), hdc in same sp"" | foundation_form: ""Row 1: Step 1: Ch 6. Step 2: Dc into the fourth ch from the hook."" | round_join: ""join with slst to first sc; turn. Fasten off Color C."" ; ""join with slst to third ch of tch; turn."" | chart_cell_means: ""Each pixel in the graph corresponds with one tile in your afghan."""
mdc-rainbow-c2c,"Muted, Modern Rainbow C2C Crochet Blanket Pattern (Over the Rainbow C2C Blanket - Free Pattern)",Jess Coppom,indie,https://makeanddocrew.com/rainbow-crochet-blanket-pattern/,crochet,c2c,blanket,2026,US,declared,yes,yes,c2c popcorn,ch-sp,ch;dc;sl st;sc;rev sc;popcorn,tile,tiles,3,single,unstated,unstated,unstated,unstated,unstated,slst,no,none,no,none,yes,fasten-off;weave-ends;block,yes,color-grid,tile,yes,bottom-right,no,no,yes,intermediate,yes,yes,both,yes,yes,mixed,yes,no,yes,yes,1,no,no,no,no,,medium,"Free version is graph-only; row-by-row written instructions are in the paid PDF (one example row shown: ""Row 21 [WS]: A11, (B Popcorn) x 6, A4""). Graph image not in extraction, so chart_type/chart_key unverified. turning_chain=3 comes from tile definition ""3 ch (the tch)"", not a row-start instruction; no foundation or row instructions given. Border rounds start with ""Ch 3 (counts as sc and 2 ch)"" / ""Ch 1"" — round-start chain, not a turn. round_join is border only. C2C inc/dec implicit, not written. Gauge given in tiles, not sts. rsc used but not in abbrev list. Year is ""Updated: Jul 5, 2026"". copyright_terms: has Permissions section — coded no by mistake? See quotes.","terms: ""Abbreviations and Glossary (US Terms)"" | gauge_form: ""5.5 tiles = 4”"" / ""Each tile = approx. .75”"" | turning_chain: ""A tile = 3 ch (the tch) + 3 dc OR 1 C2C popcorn stitch"" | tc_counts_as_stitch: unstated for body; border round-start chain only: ""Border Round 1: Ch 3 (counts as sc and 2 ch), sk first tile, sc in sp between next 2 tiles"" | foundation_form: unstated | round_join: ""Sl st to first ch from beginning of round to join."" / ""slst to first st of round to join."" | chart_cell_means: ""Each pixel in the C2C crochet rainbow graph pattern corresponds with one tile in your afghan. A tile = 3 ch (the tch) + 3 dc OR 1 C2C popcorn stitch"" | copyright_terms: ""Permissions + Copyright: Please do not publish or share this pattern as your own. You may make items to sell with this pattern. In exchange, please link back this post. Do NOT use our photos as your own sales photos."""
mmd-making-spirits-bright,Making Spirits Bright Holiday Graphgan-Free Crochet Pattern,Meghan Ballmer,indie,https://meghanmakesdo.com/blog/making-spirits-bright-free-crochet-pattern,crochet,c2c,blanket,unstated,unstated,inferred-from-stitches,yes,no,none,none,ch;sc;dc;slst,c2c,tiles,unstated,unstated,unstated,unstated,unstated,unstated,unstated,slst,no,none,yes,rows,yes,fasten-off;weave-ends,yes,color-grid,tile,yes,bottom-right,no,no,yes,unstated,yes,yes,unstated,yes,no,mixed,yes,no,yes,yes,1,no,no,no,no,,medium,"Free blog page: the c2c body is delivered only as a downloadable graph (not in the extraction) plus five prose Notes; row-by-row written instructions are sold separately in a PDF, so turning chain, foundation, first-stitch, tc fields are all unstated. Terms inferred US from sc/dc in the abbreviation list; not declared. round_join=slst and repeats_stated=rows both come from the border round only (body is rows). chart_type=color-grid and chart_cell_means=tile are inferred from ""graphgan""/tile-based gauge and border, not explicitly stated; codebook may need `unstated` for chart_type, chart_key, turning_chain_by_stitch. chart_key=no is unverifiable (graph absent). rs_ws_stated only via ""right side of the blanket facing you"" in border. gauge_stitch coded as c2c from ""in corner to corner stitches"". Yarn: yards plus skeins, two colors, Pound of Love, no weight class or fiber stated.","terms: unstated | gauge_form: ""5 tiles X 5 tiles = 4” square in corner to corner stitches."" | turning_chain: unstated (body rows not written; border round only: ""Round 1: Ch 1, sc evenly around entire blanket."") | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: ""Round 1: Ch 1, sc evenly around entire blanket. Work 3-4 stitches in each tile. Work 3 sc into each corner. Sl st to join."" | chart_cell_means: ""5 tiles X 5 tiles = 4” square in corner to corner stitches."" / ""Work 3-4 stitches in each tile."" (no explicit cell statement) | chart_direction: ""The graph is read from the bottom right corner to the top left corner. All even rows are worked right to left and all odd rows are worked left to right."" | shaping: ""You will increase or decrease at the beginning of each row."""
nch-c2c-to-sc-graph,Learn how to Convert a C2C Graph to Single Crochet Stitch!,Tonya Bush,indie,https://nanascraftyhome.com/learn-how-to-convert-a-c2c-graph-to-single-crochet-stitch/,crochet,tapestry,other,2022,unstated,inferred-from-stitches,no,no,none,none,sc,unstated,unstated,unstated,single,unstated,unstated,unstated,chain-count,2,n/a,yes,changes-only,no,none,no,none,yes,color-grid,block,yes,unstated,no,no,no,unstated,no,no,unstated,no,no,unstated,no,no,no,yes,0,no,no,yes,yes,,low,"tutorial: blog article on converting a C2C graph to sc tapestry rows; not a pattern. Coder agent-A. Terms inferred US from sc/dc. Cell meaning is the whole point: c2c cell = block of 3 dc; converted cell = 2 sc across x 2 rows (no codebook value for a 2x2 cell; suggests new chart_cell_means value). Turning is stated (""You will turn for row 2"") without any chain count. Foundation given as a formula (blocks x 2 + 1) plus concrete counts (Ch 27, Ch 121). Stitch counts appear only as ""(120)"" on Sunflower rows 1-2, so changes-only is a forced fit; a ""partial"" value would help. Stitch marker is a suggestion for tracking the front side, not an instruction. Charts are images not captured in text; key not visible. Written rows are 4-row excerpts, not full. dc mentioned only as the original c2c stitch. Finished sizes are approximate conversion estimates, hence sizes_count 0.","terms: unstated | gauge_form: unstated | turning_chain: unstated (""You will turn for row 2 and repeat each stitch for 26 single crochet stitches in grey."") | tc_counts_as_stitch: unstated | foundation_form: ""13 x 2 = 26 + 1 for your beginning chain."" / ""Ch 27"" / ""You can see there are a total of 60 blocks across which means you would multiply by 2 and add 1 for your foundation chain."" / ""Ch 121"" | round_join: n/a | chart_cell_means: ""Each c2c square, ""block"" or ""pixel"" shown in the graph represents 3 double crochet stitches worked as a block."" / ""Basically each block or pixel in the graph would represent 2 sc stitches for 2 rows."" / ""If I were to make this as a single crochet tapestry project I could just say that each ""block"" = 1 sc stitch to get a much smaller finished project."""
onhand-3-rowribboncandycrochetswatchingguidebya,Swatching Guide,Ashley Lee Zhong,on-hand,local,crochet,rows,other,unstated,US,declared,yes,yes,Standing Double Crochet;DC2tog;DC6tog;DCInc;Loop,none,ch;sl st;sc;dc;dc2tog;dc6tog,unstated,sts-and-rows-over-4in,0,single,unstated,unstated,unstated,other,unstated,n/a,yes,none,yes,none,no,fasten-off;seam,yes,symbol-diagram,n/a,yes,bottom-left,yes,yes,yes,unstated,yes,yes,both,no,no,yards,yes,no,yes,yes,1,no,yes,no,no,,medium,"tutorial: 3-row swatching guide, not a project. Raw .txt was an empty source stub; the 2-page image-only PDF was read visually. Unusual construction: each row is worked around both sides of a chained foundation spine (Column, Increase Curve, Decrease Curve), then ""Tie off and cut, turn work""; every row begins with a Standing DC in the new color instead of sl st + ch 3, so turning_chain coded 0 — codebook may want a standing-stitch/none value and tc_color could not be coded. Foundation is compound (ch + loop + sc + ch tail) hence other. Gauge row dimension is ""1 Column+1 Row"". Designer full name from file name; page says only ""Ashley"". Size only as photo annotation 5.25"" x 8"".","terms: ""US Terms and Abbreviations"" | gauge_form: ""Gauge: 13 sts and 1 Column+1 Row= 4"""" | turning_chain: ""Every row of a Ribbon Candy Crochet project begins with ""Standing Double Crochet"" instead of ""sl st, ch 3."""" ; ""Tie off and cut, turn work to stitch into the ""wrong side."""" | tc_counts_as_stitch: unstated (no turning chain is made; nothing said about counting) | foundation_form: ""Foundation: Using Color A, ch 15, PM in 15th ch to mark the end of Column Side, ch 4, sl st into 1st of 4 chains to form Loop, SC 1, PM, SC 14 across, PM in 14th stitch to mark end of Column Side, ch 19, PM in 19th ch to mark beginning of column side, ch 14. Tie off and cut."" | round_join: n/a (worked in rows, not rounds) | chart_cell_means: unstated (symbol diagram with a Chart Key only; no statement of what a symbol/cell means)"
onhand-chaparralscarf,Chaparral Scarf,The Cozy Knot / Tanya Johnson,on-hand,local,crochet,rows,accessory,2022,unstated,inferred-from-stitches,yes,yes,picot sc,none,fsc;sc;wc;psc,wc,sts-and-rows-over-4in,1,single,no,start-of-row,unstated,fsc,n/a,n/a,no,changes-only,no,rows,no,fasten-off;weave-ends;block,no,n/a,n/a,n/a,n/a,n/a,no,no,other:Advanced Beginner,yes,no,both,yes,no,yards,n/a,no,yes,yes,1,no,yes,yes,yes,,high,"Terms inferred US from sc/fsc presence; not declared. Waistcoat stitch (wc) appears in abbrevs and is the main fabric stitch but is NOT defined in Special Stitches (only picot sc is) — codebook may want an ""abbrev-but-undefined"" flag. wc is not a CYC abbreviation. Gauge swatch says ""ch 2"" turning while body says ""ch 1"" — inconsistency, likely typo; coded body value. Single-color pattern so tc_color uncodeable. written_also coded ""no"" only because there is no chart; a n/a value would fit better. Blocking is ""steam blocked"" in notes, not a formal finishing step. Length customization note given (end on a Row 8 rep). Hook given as mm only, ""or hook needed to meet gauge"". Videos are links (fsc, pattern tutorial).","terms: unstated | gauge_form: ""9.5 wc sts x 12 rows = approx. 4"" square"" ... ""Swatch will be larger than 4”. Measure within margins."" | turning_chain: ""ROW 2-7 | ch 1, wc in each st across, turn"" (gauge swatch differs: ""ROW 2-20 | ch 2, wc in each st across, turn"") | tc_counts_as_stitch: ""turning ch 1 does not count as a st"" | foundation_form: ""ROW 1 | fsc 29, turn -- (29 sts)"" ... ""fsc | foundation single crochet"" | round_join: n/a (worked flat: ""scarf is worked flat in rows, turning work at the end of each"") | chart_cell_means: n/a (no chart) | stitch_counts_given: ""st count is noted in parentheses at the end of rows only where count changes"" | finishing_steps: ""after last row, FO and weave in ends"" ... ""to finish, I steam blocked my scarf"""
onhand-coastlinewashclothpatternset-stitchberry,Coastline Washcloth Pattern Set (Bubble Washcloth; Boardwalk Washcloth; Pebble Washcloth; Market Washcloth),"stitchberry (signed ""x0, grace"")",on-hand,local,crochet,rows,washcloth,unstated,US,declared,yes,yes,Puff Stitch;Herringbone Half Double Crochet,BLO;FLO,ch;slst;sc;hdc;dc;puff;hhdc,pattern,sts-and-rows-over-other,varies,sc=1;hdc=1;hhdc=1;dc=2;sc-dc-alternating=1,unstated,end-of-row,unstated,chain-count,2,n/a,no,every-row,no,rows,yes,fasten-off;weave-ends,no,n/a,n/a,n/a,n/a,n/a,no,no,easy,yes,yes,both,yes,no,yards,n/a,no,yes,yes,1,no,no,no,no,,medium,"Coder agent-A. Set of 4 washcloth patterns (Bubble, Boardwalk, Pebble, Market) in one file, coded as one row; several fields differ across them. Gauge: Bubble over 4in, other three over 3in. TC by pattern: Bubble hdc=1/dc=2; Boardwalk dc=2/sc-dc alt=1; Pebble and Market all ch1. first_stitch_in varies: Bubble/Market 2nd ch; Boardwalk/Pebble say ""1st ch"" but counts (ch31->30, ch30->29) imply 2nd. Bubble skips Row 4 and uses dc without listing it in abbrevs. Special stitches defined inline in abbrev list, not a separate section. TC not counting only implied by counts. No chart, so written_also=no. Codebook may need ""varies"" for first_stitch_in and a way to handle multi-pattern sets.","terms: ""The pattern is worked in US crochet terms."" | gauge_form: ""11 rows of 15 stitches following the stitch pattern = 4 inches"" (Bubble); ""8 rows of 12 stitches following the pattern = 3 inches"" (Boardwalk); ""10 rows of 12 stitches following the pattern = 3 inches"" (Pebble); ""9 rows of 13 stitches following the pattern = 3 inches"" (Market) | turning_chain: ""Row 1: 1 hdc in 2nd ch, 1 hdc in every ch (30 sts). Ch 2, turn."" ""Row 2: 1 dc in 3 sts. *1 puff st in st, 1 dc in 3 sts* repeat across (30 sts). Ch 1, turn."" ""Row 2: 1 dc in every st (30 sts). Ch 1, turn."" ""Row 3: *1 sc in st, 1 dc in next st* repeat across (30 sts). Ch 2, turn."" ""Row 2: 1 hhdc in every st (29 sts). Ch 1, turn."" ""Row 2: *1 hdc in BLO of st, 1 hdc in FLO of next st* repeat across (36 sts). Ch 1, turn."" | tc_counts_as_stitch: unstated (no statement in words; counts stay at 30/29/36 sts after Ch 2 or Ch 1 turns) | foundation_form: ""Ch 31"" (Bubble, Boardwalk); ""Ch 30"" (Pebble); ""Ch 37"" (Market) | round_join: n/a (worked in rows; border only: ""Evenly sc around the washcloth, working 3 sc in each corner. Sl st into the first st."") | chart_cell_means: n/a (no chart)"
